id,song_title,channel_name,youtube_link,lyrics
fHKCQuTxvhc,N.O.N.,Sau - Topic,https://www.youtube.com/watch?v=fHKCQuTxvhc,"Is that it? Is that it? NOE and, yeah, boy!
Now or never?
Will he make it? Is the question! I feel the pressure!
Stress rising while that bank account lowering.
Telling me to play it safe? Fuck that! I’m going in!
Ironic that I can’t sleep cause I’m dream chasing.
Rather have the casket closed, and not earned the payment.
My sound filling, know these thoughts be a real issue.
If you feel how I feel, I’ll continue.
See, my talents real and my drives official.
A much deeper view on life is what I’ll give you.
See, this is all I have! This is all I want!
This for those that raised me, words to Mommy, Paps!
So, fuck the judgement hard, boy, acting careless.
Tears on my cheek and my head a mess.
So, this my prayer to God.
I'm hoping this my season.
This is why I chase the life. It keeps me breathing.
Walk with me to the dreams that we seek
And be a part of me through the highs and the lows.
I know it’s hard to see how we made it this far.
But, so far we are, so it’s now or never.

They say my last project, man, it can’t be topped.
But, Imma stop right here and kill the talk.
I ain’t the same person, I ain’t the same writer.
Ain’t got the same cravings, got a new desire.
Ain’t have the same problems, ain’t have the same answers.
Got a new plateau as an artist, fuck a rapper!
This for my whole team now. Let’s make a living
and do it strictly off the realm of fucking image.
Ain’t got time for timid and fuck being passive.
Gotta stay aggressive, that’s how you make it happen.
That’s how you turn your dreams into real life.
That’s how you put emotions on the record, do it right.
Middle finger for the haters and the non-supporters.
Y’all just envy cause you watching, I ball on quarters.
So, I dead em all and focus on the winning.
It’s now or never. Welcome to the new vision!
Walk with me to the dreams that we seek
And be a part of me through the highs and the lows.
I know it’s hard to see how we made it this far.
But, so far we are, so it’s now or never."
6hc0n5f9mdU,-_Q_NO_(Video_oficial),Sofia Coll,https://www.youtube.com/watch?v=6hc0n5f9mdU,"M'agradaria trobar-me amb tu de nou i mires dubtes
Que tinc sense resoldre'm de cop, un cop és inevitable
Quan tot ve de nou, nou cops hi deu mil missatges
Que em fan dir que no, hem dit que no, no, no, no, no, no, no
Hem dit que no, no, no, no, no, no, no, no, no,
Hem dit que no, no, no, no, no, no, no, no, no,
Hem dit que no ens enamorem, s'ha acabat aquesta història, acabat.
S'ha acabat, s'ha acabat.
S'ha acabat.
S'ha acabat, s'ha acabat.
S'ha acabat, s'ha acabat.
S'ha acabat, s'ha acabat.
S'ha acabat aquesta història
Estàs plorant? Tot ens anirà lo més estrany
Em promets que no caurem a això, que tu ja estàs millor, però pensa-t'ho bé fa por juro
Érem aliens enamorats
Com dos nens enamorats
Ara es tots ens anem a dormir, que tot és mentida, perdem el temps
Ara es tots ens anem a mimir amb una altra vida, amic et sento
Un cop és inevitable quan tot ve de nou
Nou cops hi deu mil missatges, que em fan dir que no
Hem dit que no, no, no, no, no, no, no
Hem dit que no, no, no, no, no, no, no

Hem dit que no, no, no, no, no, no, no
Hem dit que no ens enamorem, s'ha acabat aquesta història

És una il·lusió
Tu m'haràs raó
Tinc una visió
On estem amb mi practican..."
tsSXA1PxbbA,-_Vete_(En_Directo_En_La_Sala_BARTS),Judit Neddermann,https://www.youtube.com/watch?v=tsSXA1PxbbA,"Vete, anda con cuidado y vete
Si hay algún varón que dice
Que tú no eres suficiente
Vete, anda con cuidado y vete
Si hay algún varón que dice
Que tú no eres suficiente

Es la fuerza del carisma
La gente se lo cree aunque sea una mentira
Maldigo tu versión te deja en la mejor posición
A mí también me has hecho daño
Acepto mi papel en la obra de teatro
Escucha mi versión, no escribes tú solo el guion

Vete, anda con cuidado y vete
Si hay algún varón que dice
Que tú no eres suficiente
Vete, anda con cuidado y vete
Si hay algún varón que dice
Que tú no eres suficiente

A mí también me has hecho daño
Acepto mi papel en la obra de teatro
Escucha mi versión, no escribes tú solo el guion
Lejos de ti aprendo a vivir
Aprendo a sentir que todo fluye
Y si lo agarras lo destruyes
Quédate con que me digas que lo sientes
Que fue muy triste y el adiós lo mereciste

Vete, anda con cuidado y vete
Si hay algún varón que dice
Que tú no eres suficiente
(Lo vuelvo a cantar)
Vete, anda con cuidado y vete
Si hay algún varón que dice
Que tú no eres suficiente
(eh)

Vete, anda con cuidado y vete
Si hay algún varón que dice
que tu no eres suficiente
Vete, anda con cuidado y vete
Si hay algún varón que dice
Que tu no eres suficiente"
HTVum_K4Bp0,MIRA_Bella_(Official_Video),Cat Music,https://www.youtube.com/watch?v=HTVum_K4Bp0,"A Bella, Bella, Bella, Bella,
Mueve tu cuerpo y ahí
A Bella, Bella, Bella, Bella,
Todo el mundo, todo el mundo para ti
A Bella, Bella, Bella, Bella,
Mueve tu cuerpo y ahí
A Bella, Bella, Bella, Bella,
Todo el mundo, todo el mundo para ti

I want ya
Every everything you do, makes me feel like I'm the one for you
I need ya
The way you, the way you move your body, makes me feel so naughty
Give me, give me, give me, you feel excited
Give me, give me, give me, you feel so naughty
I want ya
Every everything you do, makes me feel like I'm the one for you
Every everything you do, makes me feel like I'm the one for you
Every everything you do, everything you do
A Bella, Bella, Bella, Bella,
Mueve tu cuerpo y ahí
A Bella, Bella, Bella, Bella,
Todo el mundo, todo el mundo para ti
A Bella, Bella, Bella, Bella,
Mueve tu cuerpo y ahí
A Bella, Bella, Bella, Bella,
Todo el mundo, todo el mundo para ti

I hear ya
Every every word you say, makes me wanna fly away, baby
I feel ya
The way you, the way you move your body, makes me feel so naughty
Give me, give me, give me, you feel excited
Give me, give me, give me, you feel so naughty
I hear ya
Every every word you say, makes me wanna fly away, baby
Every everything you do, makes me feel like I'm the one for you
Every everything you do, everything you do
A Bella, Bella, Bella, Bella,
Mueve tu cuerpo y ahí
A Bella, Bella, Bella, Bella,
Todo el mundo, todo el mundo para ti
A Bella, Bella, Bella, Bella,
Mueve tu cuerpo y ahí
A Bella, Bella, Bella, Bella,
Todo el mundo, todo el mundo para ti

A Bella, Bella, Bella, Bella,
Todo el mundo, todo el mundo para ti"
evUhwtozbwA,ETS_Sumendiak_(Official_Video)_feat._Buhos,E.T.S. Official,https://www.youtube.com/watch?v=evUhwtozbwA,"Bai, ona da! These are the lyrics of ""Mendi Biltzarra"" by ZETAK:

Sasietarau guztien gainetik.
Mundua gaur bukatzen dela badakit.
Zeru beltzean zu festan, zu mendi bi.
Lurra lehertzen eta airean dantzari.

Lubakietan loratu ginen bi hazi.
Munduan jabe, ginen hasi eta asi.
Eta orain, munduan kaiolaturik.
Nondik atera behar du esan nondik.

Gerrahontan zurekin galdu nahi dut nik.
Sasietarau guztien gainetik.
Mundua gaur bukatzen dela badakit.
Zeru beltzean zu festan, zu mendi bi.
Lurra lehertzen eta airean dantzari.

Bada desioa, bero geldi ezina da.
Lehen muxua hodei sumendia gara.
Negurik hotzenean zein udalehor.
Lurra lehertzen da ta beti zaude hor.

Taupada bakoitzean leherketa dator.
Sasietarau guztien gainetik.
Mundua gaur bukatzen dela badakit.
Zeru beltzean zu festan, zu mendi bi.
Lurra lehertzen eta airean dantzari.

Sasietarau guztien gainetik.
Mundua gaur bukatzen dela badakit.
Zeru beltzean zu festan, zu mendi bi.
Lurra lehertzen eta airean dantzari."
3hQxRIHG3l4,Geo_Da_Silva_&_Samuel_Kimkò_Baila_Baila_Baila_(Official_Video),Cat Music,https://www.youtube.com/watch?v=3hQxRIHG3l4,"Summer sun above, feel the magic light
Summer moon of love, let's party tonight
I feel so crazy, sugar can't you see?
Come closer baby just dance with me

Baila, baila, baila, shake it up, let's go Chiquita
Baila, baila, baila, shake it up, let's go Bonita
Baila, baila, baila, shake it up, let's go Chiquita
Baila, baila, baila, shake it up, let's go Bonita

Shake, shake, shake, shake!
Baila, baila, baila
Baila, baila, baila
Summer sun above, feel the magic light
Summer moon of love, let's party tonight
I feel so crazy, sugar can't you see?
Come closer baby just dance with me
Baila, baila, baila, shake it up, let's go Chiquita
Baila, baila, baila, shake it up, let's go Bonita
Baila, baila, baila, shake it up, let's go Chiquita
Baila, baila, baila, shake it up, let's go Bonita

It's time to have some fun under the summer sun
It's time to move your body baby
Don't waste your time, fiesta, baila and laugh
Let's party, everybody dance and sing with me!
Shake, shake, shake, shake!

Baila, baila, baila
Baila, baila, baila
Open up your heart, tell me what do you feel
Open up your heart, what you feel is so real
Look inside you find a deeper love
Feelings that come only from above
Baila, baila, baila, shake it up, let's go Chiquita
Baila, baila, baila, shake it up, let's go Bonita
Baila, baila, baila, shake it up, let's go Chiquita
Baila, baila, baila, shake it up, let's go Bonita

It's time to have some fun under the summer sun
It's time to move your body baby
Don't waste your time, fiesta, baila and laugh
Let's party, everybody dance and sing with me!
Shake, shake, shake, shake!

Baila, baila, baila
Baila, baila, baila
Shake, shake, shake, shake!"
CP9H_Z139y4,"Susi_Abanades,_Pol_Bordas_Lo_Que_La_Luna_Gritaba",SUSI ABANADES,https://www.youtube.com/watch?v=CP9H_Z139y4,"L'última vez que te vi
clavé mis ojos en ti
però sempre és tard quan quiero decir
que en mi mente no dejo de verte salir
lo que la luna gritaba
tan cerca de mi
contigo yo siempre vuelvo a caer
no importa lo lejos o cerca que estés
trato siempre de olvidar
como acaricias mi cara intentando no fallar

Lo que la luna gritaba
i no supimos ver
Una noche equivocada
no me preguntes porque
¿Qué pu*a lunas gritabas?
No es coneixiem de res
No esperis res per de nosaltres
mentres el món al revés
(Vaig pensar, si fossim sota la lluna que fariem?)
L'esquivo a la lluna i canto
que sé que em turia dan el tantu
Mentre esper que vinguis mentre m'encanto un cantant, i ara que vinc?
S'amaga el sol,
encara que en tu con con coit aguanto
con coit m'aguantas si no m'aguanto ni yo
I encara puc anar pitjor
portus perats a mitj hora
m'agrada aquest fred que ve a mitjor
la lluna surt i empitjora
però ja ens cansa un mestre mig dorms
L'última vez que te vi
clavé mis ojos en ti
però siempre es tarde cuando quiero decir
lo que la luna gritaba
i no supimos ver
Una noche equivocada
no me preguntes porque
¿Qué pu*a lunas gritabas?
No es coneixiem de res
No esperis res per de nosaltres
mentres el món al revés

Que la luna gritaba
No es coneixiem de res
Que la luna gritaba"
6Hj3wfVdM60,Tiger_Balm_Hollie_Cook,Taher Ferhat,https://www.youtube.com/watch?v=6Hj3wfVdM60,"No ets el que vol
Oh my lonely soul
I was so bad
To leave you for a bit of joy
You gave me stars
I leave you the store
Never mind the distance
I am running after you I am running after you
No medicine today
I think of you anyway
My nights are empty without you

And I walk down the hill
To the place we used to believe
In everlasting love
Where are you now?
And I walk down the hill
To the place we used to believe
In everlasting love
Baby come home

I hit the fat
When I'm running the race
My luck is gone
Gone with your pretty face
I talk about you
To people I meet
Never mind the story
I am running after you, running running after you
No medicine today
I think of you anyway
My nights are empty without you

And I walk down the hill
To the place we used to believe
In everlasting love
Where are you now?
And I walk down the hill
To the place we used to believe
In everlasting love
Baby come home

I hit the fat
When I'm running the race
My luck is gone
Gone with your pretty face
I talk about you
To people I meet
Never mind the story
I am running after you, running running after you"
UGtqZQenpgQ,Come_Together,Sopa de Cabra,https://www.youtube.com/watch?v=UGtqZQenpgQ,"Here come old flat top 
He come grooving up slowly
He got joo joo eyeball 
He one holy roller 
He got hair down to his knee

Got to be a joker he just do what he please

He wear no shoeshine he got toe jam football
He got monkey finger he shoot coca cola
He says I know you, you know me
One thing I can tell you is you got to be free
Come together right now
Over me

He bag production he got walrus gum boot
He got Ono sideboard he one spinal cracker
He got feet down below his knee
Hold you in his arms till you can feel his disease
Come together right now
Over me

He roll a coaster he got early warning
He got muddy water he one mojo filter
He says one and one and one is three
Got to be good looking cause he's so hard to see
Come together right now
Over me

Come together
Come together
Come together
Come together
One and one and one is three
Got to be good looking cause he's so hard to see
Come together right now
Come together right now
Over me"
MY4krp-8mlQ,-_LOS_15_(PQ_STAS_TRISTE),Mushkaa,https://www.youtube.com/watch?v=MY4krp-8mlQ,"Porque estás triste
Estabas bien la ultima vez que me viste
Decía ella preocupada por irse
Dije estoy bien si ya pasaron los quince
El compas, me lo marcaba el cielo
Clara luz, brillaba entre tu pelo
Abres mas, tus ojos caramelo
Dime que me quieres pero sin un pero
Busco el mar, las playas sin enero
Quiero que aparezca lo que mata el miedo
Destrozar, mi corazón de acero
No escribir mas versos que dicen no puedo
Porque estas triste
Estabas bien la ultima vez que me viste
Decía ella preocupada por irse
Dije estoy bien si ya pasaron los quince
El viento en contra
Las alas cortas
Als papas em deien busca se que tu ets mes forta
Parla dels teus problemes deixa-t obert a la porta
Dije, tengo miedo porque el miedo también corta
Pasaba el aire entre camisas de verano
Te invito a un baile, entre tus piernas y mis manos
No tengo un plan b, pero sueño en algo lejano
Cuidame hasta que el sol marque que ya es temprano
Obro els ulls, empiezo desde cero
Suena jazz, los acordes primero
Después splash, palmadas en el cielo
Manos en el pecho al corazón entero
Porque estas triste
Estabas bien la ultima vez que me viste
Decía ella preocupada por irse
Dije estoy bien si ya pasaron los quince
Ya no estas triste
Estabas mal la ultima vez que me viste
Decía ella preciosa al desvestirse
Yo la besaba y no tardaba en dormirse
Porque estas triste
Estabas bien la ultima vez que me viste
Decía ella preocupada por irse
Dije estoy bien si ya pasaron los quince
Ya no estas triste
Estabas mal la ultima vez que me viste
Decía ella preciosa al desvestirse
Yo la besaba y no tardaba en dormirse

Porque estas triste"
