video_id,song_title,channel_name,original_title,audio_file,youtube_link
xgwSYlZSYN8,-_Una_Cançó_(Videoclip_Oficial),Julen,Julen - Una Cançó (Videoclip Oficial),xgwSYlZSYN8.mp3,https://www.youtube.com/watch?v=xgwSYlZSYN8
uQVlLOB0rOE,-_Honestament_(2022),Els Catarres,Els Catarres - Honestament (2022),uQVlLOB0rOE.mp3,https://www.youtube.com/watch?v=uQVlLOB0rOE
y-gNVxLK6HM,Entre_les_branques,Seikos - Topic,Entre les branques,y-gNVxLK6HM.mp3,https://www.youtube.com/watch?v=y-gNVxLK6HM
QXC9J1jWbmc,SOMRIUREM_Txarango_feat._Nil_Moliner,Txarango Oficial,SOMRIUREM - Txarango feat. Nil Moliner,QXC9J1jWbmc.mp3,https://www.youtube.com/watch?v=QXC9J1jWbmc
cAaLAh3Tgvk,-_Lliure_(Videoclip_oficial),Les Montses,Les Montses - Lliure (Videoclip oficial),cAaLAh3Tgvk.mp3,https://www.youtube.com/watch?v=cAaLAh3Tgvk
qfRJSVOT9qc,-_TU_A_MENORCA_I_JO_A_L'ESCALA,SUU,SUU - TU A MENORCA I JO A L'ESCALA,qfRJSVOT9qc.mp3,https://www.youtube.com/watch?v=qfRJSVOT9qc
BD8wMF7JNvo,HO_TENIM_TOT_JOAN_DAUSÀ_(ÀLBUM_COMPLET),Joan Dausà,HO TENIM TOT - JOAN DAUSÀ (ÀLBUM COMPLET),BD8wMF7JNvo.mp3,https://www.youtube.com/watch?v=BD8wMF7JNvo
k2W7dzNpCO8,Moments,Manu Guix Oficial,Moments,k2W7dzNpCO8.mp3,https://www.youtube.com/watch?v=k2W7dzNpCO8
MhTIm72l0JU,XAVI_SARRIÀ_La_nit_ferida,Xavi Sarrià,XAVI SARRIÀ - La nit ferida,MhTIm72l0JU.mp3,https://www.youtube.com/watch?v=MhTIm72l0JU
2VaNfggROM0,PORTO_BELLO_SOM_DE_FOC,Portobello Música,PORTO BELLO - SOM DE FOC,2VaNfggROM0.mp3,https://www.youtube.com/watch?v=2VaNfggROM0
i8r_sIdXVpk,KOERS_El_Teu_Amor_(Official_Video),KOERS Reggae Band,KOERS - El Teu Amor (Official Video),i8r_sIdXVpk.mp3,https://www.youtube.com/watch?v=i8r_sIdXVpk
4oBpI48JUPs,Blaumut_El_Que_Vull_(Videoclip_Oficial),Blaumut Oficial,Blaumut - El Que Vull (Videoclip Oficial),4oBpI48JUPs.mp3,https://www.youtube.com/watch?v=4oBpI48JUPs
Yck26JqKLTE,si_això_sacaba_aquí,ariox - Topic,si això s’acaba aquí,Yck26JqKLTE.mp3,https://www.youtube.com/watch?v=Yck26JqKLTE
P4Xr-ZetJ00,El_bany_VIENNA_&_Roserona(Videoclip_Oficial),Vienna grup,El bany - VIENNA & Roserona(Videoclip Oficial),P4Xr-ZetJ00.mp3,https://www.youtube.com/watch?v=P4Xr-ZetJ00
BPaO4nC1rN8,SENYOR_OCA_CAMINAR_LENT,Senyor Oca,SENYOR OCA - CAMINAR LENT,BPaO4nC1rN8.mp3,https://www.youtube.com/watch?v=BPaO4nC1rN8
r9GgJiega3I,Lluny_de_L'asfalt,MOSAIC - Topic,Lluny de L'asfalt,r9GgJiega3I.mp3,https://www.youtube.com/watch?v=r9GgJiega3I
TcHsNUwuKVQ,nem_fora_-,Júlia Blum,‘nem fora - Júlia Blum,TcHsNUwuKVQ.mp3,https://www.youtube.com/watch?v=TcHsNUwuKVQ
c_WhIxnnADQ,ARIOX_I_GALGO_LENTO_HO_SENTO,Galgo Lento,ARIOX I GALGO LENTO - HO SENTO,c_WhIxnnADQ.mp3,https://www.youtube.com/watch?v=c_WhIxnnADQ
Y1WImYQ7r_E,",_Albert_Pla_No_Vull_Baixar_(Official_Video)",STAY HOMAS,"STAY HOMAS, Albert Pla - No Vull Baixar (Official Video)",Y1WImYQ7r_E.mp3,https://www.youtube.com/watch?v=Y1WImYQ7r_E
kuvZjViDbFE,Pèl_de_Gall_Junts_Videoclip_Oficial,RGBSuports,Pèl de Gall - Junts - Videoclip Oficial,kuvZjViDbFE.mp3,https://www.youtube.com/watch?v=kuvZjViDbFE
hWs_xpkZJmQ,CANTA_I_PEPET_I_MARIETA_feat._Miquel_d'Oques_Grasses_(Videoclip),Pepet i marieta,CANTA I PEPET I MARIETA feat. Miquel d'Oques Grasses (Videoclip),hWs_xpkZJmQ.mp3,https://www.youtube.com/watch?v=hWs_xpkZJmQ
LVS_qlQ8ptc,-_L'amant_malalta_(videoclip_oficial),Manel,Manel - L'amant malalta (videoclip oficial),LVS_qlQ8ptc.mp3,https://www.youtube.com/watch?v=LVS_qlQ8ptc
iomQtdVvakg,The_Penguins_Band_Boires_i_Retrets_(Cançó_Oficial_de_la_Volta_Ciclista_a_Catalunya_2022),Reggae Per Xics,The Penguins Band - Boires i Retrets (Cançó Oficial de la Volta Ciclista a Catalunya 2022),iomQtdVvakg.mp3,https://www.youtube.com/watch?v=iomQtdVvakg
Uwoqw-axM-E,Roger_Argemí_Quan_S'apaga_El_Món_(Videoclip_oficial),Crea Music,Roger Argemí  -  Quan S'apaga El Món (Videoclip oficial),Uwoqw-axM-E.mp3,https://www.youtube.com/watch?v=Uwoqw-axM-E
j3snvN5pHHQ,Els_Amics_de_Manel_Per_ser_Feliç_Capítol_1_(Videoclip_oficial),Els Amics De Manel,Els Amics de Manel - Per ser Feliç -  Capítol 1  (Videoclip oficial),j3snvN5pHHQ.mp3,https://www.youtube.com/watch?v=j3snvN5pHHQ
KRwByTFPoHI,ITACA_BAND_VOLA,Itaca Band Oficial,ITACA BAND - VOLA,KRwByTFPoHI.mp3,https://www.youtube.com/watch?v=KRwByTFPoHI
XKZhwWzC_qw,Per_què_no_balleu_VIENNA_&_Adrià_Salas_(Videoclip_Oficial),Vienna grup,Per què no balleu? - VIENNA & Adrià Salas (Videoclip Oficial),XKZhwWzC_qw.mp3,https://www.youtube.com/watch?v=XKZhwWzC_qw
-ZpZA_bJkBY,SEMPRE_TORNES_Jacobs_(Official_Video),JACOBS,SEMPRE TORNES - Jacobs (Official Video),-ZpZA_bJkBY.mp3,https://www.youtube.com/watch?v=-ZpZA_bJkBY
lcZALyaYvnw,PORTO_BELLO_LA_LLEI_UNIVERSAL,Portobello Música,PORTO BELLO - LA LLEI UNIVERSAL,lcZALyaYvnw.mp3,https://www.youtube.com/watch?v=lcZALyaYvnw
NLDdfISCMp0,Bufa_el_vent,Maison Bélier - Topic,Bufa el vent,NLDdfISCMp0.mp3,https://www.youtube.com/watch?v=NLDdfISCMp0
EbTQx0taNTo,Jaleiu_final,Guillem Albà & La Marabunta - Topic,Jaleiu final,EbTQx0taNTo.mp3,https://www.youtube.com/watch?v=EbTQx0taNTo
fKkpDj83b_A,David_Ros_Després_de_la_tempesta_(vídeo_oficial),U98 MUSIC,David Ros - Després de la tempesta (vídeo oficial),fKkpDj83b_A.mp3,https://www.youtube.com/watch?v=fKkpDj83b_A
_Yx0J2JckAM,La_dels_Manolos_feat._Los_Manolos_(Videoclip_Oficial),The Tyets,La dels Manolos | The Tyets feat. Los Manolos (Videoclip Oficial),_Yx0J2JckAM.mp3,https://www.youtube.com/watch?v=_Yx0J2JckAM
7-kX-vR0O90,La_La_Love_You_La_canción_del_verano,Subterfuge Records,La La Love You - La canción del verano,7-kX-vR0O90.mp3,https://www.youtube.com/watch?v=7-kX-vR0O90
a9n1ZvTADFo,5_minuts_(Nadales_de_sofà)_alícia_rey_&_janbu,Alícia Rey,5 minuts (Nadales de sofà) - alícia rey & janbu,a9n1ZvTADFo.mp3,https://www.youtube.com/watch?v=a9n1ZvTADFo
ZaqfqnkUIZs,-_Fem_un_crit_(Videoclip_Oficial),La Plaga N11,La Plaga N11 - Fem un crit (Videoclip Oficial),ZaqfqnkUIZs.mp3,https://www.youtube.com/watch?v=ZaqfqnkUIZs
aP5LrjfjjsE,"Suu,_Carlos_Sadness-_Barcelona_Tropical_(Video_Oficial)",SUU,"Suu, Carlos Sadness- Barcelona Tropical (Video Oficial)",aP5LrjfjjsE.mp3,https://www.youtube.com/watch?v=aP5LrjfjjsE
B24EqukEl98,Arc_de_Triomf_La_Matinada_(Videoclip_Oficial),Arc De Triomf,Arc de Triomf  - La Matinada (Videoclip Oficial),B24EqukEl98.mp3,https://www.youtube.com/watch?v=B24EqukEl98
3LEOkTgs3oo,Miki_Núñez_No_M'ho_Esperava,Miki Nuñez,Miki Núñez - No M'ho Esperava,3LEOkTgs3oo.mp3,https://www.youtube.com/watch?v=3LEOkTgs3oo
BC2xsgLYmn0,Vull_Ballar_amb_Tu,Carla López Mauri - Topic,Vull Ballar amb Tu,BC2xsgLYmn0.mp3,https://www.youtube.com/watch?v=BC2xsgLYmn0
9TiJr7M_-9A,-_Tintin_(Videoclip_oficial),Els Catarres,Els Catarres - Tintin (Videoclip oficial),9TiJr7M_-9A.mp3,https://www.youtube.com/watch?v=9TiJr7M_-9A
jDt-1QycDw8,i_Keila_Elm_Mirant_Endins_(Videoclip_Oficial),La Corda Fluixa,La Corda Fluixa i Keila Elm - Mirant Endins (Videoclip Oficial),jDt-1QycDw8.mp3,https://www.youtube.com/watch?v=jDt-1QycDw8
o1G-nLjveww,-_Massa_bé_(Vídeo_Oficial),Doctor Prats,Doctor Prats - Massa bé (Vídeo Oficial),o1G-nLjveww.mp3,https://www.youtube.com/watch?v=o1G-nLjveww
_JOHNyGPKW0,[Private_video],,[Private video],_JOHNyGPKW0.mp3,https://www.youtube.com/watch?v=_JOHNyGPKW0
YWLNuIG6gzg,Et_Crida_la_Festa,Lo Pau de Ponts,Et Crida la Festa,YWLNuIG6gzg.mp3,https://www.youtube.com/watch?v=YWLNuIG6gzg
d8VOo_56e30,-_sempre_que_m'oblido_(Videoclip_Oficial),Segonamà,Segonamà - sempre que m'oblido (Videoclip Oficial),d8VOo_56e30.mp3,https://www.youtube.com/watch?v=d8VOo_56e30
gIagG6F_ROQ,SOPA_DE_CABRA_Si_et_quedes_amb_mi_30_anys,Sopa de Cabra,SOPA DE CABRA - Si et quedes amb mi - 30 anys,gIagG6F_ROQ.mp3,https://www.youtube.com/watch?v=gIagG6F_ROQ
ssl2e6nsIKA,DOLCE_VITA_(SINGLE_OFICIAL),Joan Rovira,DOLCE VITA - Joan Rovira (SINGLE OFICIAL),ssl2e6nsIKA.mp3,https://www.youtube.com/watch?v=ssl2e6nsIKA
liBrUC4dUoM,Quan,Beth - Topic,Quan,liBrUC4dUoM.mp3,https://www.youtube.com/watch?v=liBrUC4dUoM
UeTU6bX-pW0,Joan_Masdéu_No_en_tens_prou_(Videoclip_Oficial),Satélite K,Joan Masdéu - No en tens prou (Videoclip Oficial),UeTU6bX-pW0.mp3,https://www.youtube.com/watch?v=UeTU6bX-pW0
Y-armzg4dSY,Lax'n'Busto-Que_boig_el_món,Música Global,Lax'n'Busto-Que boig el món,Y-armzg4dSY.mp3,https://www.youtube.com/watch?v=Y-armzg4dSY
j-mN6outVj4,-_Punyals_a_l'esquena_(video_lyric),Sinergia,Sinergia - Punyals a l'esquena (video lyric),j-mN6outVj4.mp3,https://www.youtube.com/watch?v=j-mN6outVj4
3W4KTFb9i8k,Els_Amics_De_Les_Arts_No_Sé_Com_T´ho_Fas,Els Amics de les Arts,Els Amics De Les Arts - No Sé Com T´ho Fas,3W4KTFb9i8k.mp3,https://www.youtube.com/watch?v=3W4KTFb9i8k
FPGnc1b1Upk,GINESTÀ_L'Últim_Ball_(Videoclip_Oficial),Ginestà Oficial,GINESTÀ - L'Últim Ball (Videoclip Oficial),FPGnc1b1Upk.mp3,https://www.youtube.com/watch?v=FPGnc1b1Upk
WMftQtqHnTc,Blaumut_Ficció_(Videoclip_Oficial),Blaumut Oficial,Blaumut - Ficció (Videoclip Oficial),WMftQtqHnTc.mp3,https://www.youtube.com/watch?v=WMftQtqHnTc
kbgh2NsRWns,Tornaràs_Feat._Albert_(ITACA_BAND),Emboirats,Tornaràs - Emboirats Feat. Albert (ITACA BAND),kbgh2NsRWns.mp3,https://www.youtube.com/watch?v=kbgh2NsRWns
-2SxzSAwabM,OQUES_GRASSES_BYE_BYE_(vídeo_oficial),Oques Grasses,OQUES GRASSES - BYE BYE (vídeo oficial),-2SxzSAwabM.mp3,https://www.youtube.com/watch?v=-2SxzSAwabM
tR0fUafMChI,AIGUA_I_SAL_SAM_RAMOS,Sam Ramos  Music,AIGUA I SAL - SAM RAMOS,tR0fUafMChI.mp3,https://www.youtube.com/watch?v=tR0fUafMChI
